Area,Pincode
Kundli,363610
Kunpur,382130
Kunvar,382110
L G hospital,380008
Lal Darwaja,380001
Lambha,382405
Lapkaman,380060
Limbadia,382330
Loliya,382465
Lothal Bhurkhi rs,382230
M D marg,380022
Madhupura Market,380004
Madrisana,382145
Mahijada,382425
Makarba,380051
Makhiav,382110
Mandal,382130
Manek Chowk,380001
Maninagar,380008
Manipur,382150
Mankol,382110
Marusana,382120
Matoda,382213
Medra,382330
Meghaningar,380016
Melaj,382150
Memnagar,380052
Mingalpur,382455
Miroli,382425
Mithapur,382230
Modasar,382220
Moraiya,382213
Mota Tradia,382460
Motera,380005
Moti kishol,382110
Moti Boru,382230
Moti Rantai,382145
Moti Vavdi,382255
Muktipur,382425
Municipal Corporation,380001
N C market,380002
N C mills,382345
Nadishala,382120
Nana Chiloda,382330
Nana Ubhada,382130
Nandej,382435
Nani Boru,382230
Nani Devti,382220
Nani Vavdi,363610
Nanodara,382220
Naranpura Vistar,380013
Narayannagar,380007
Naroda,382330
Naroda I e,382330
Naroda Road,382345
Naroda S a,382330
Narol,382405
Nava Vadaj,380013
Navagam,382130
Navapura,382210
Navda,382450
Navjivan,380014
Navrangpura,380009
Nayakpur,382130
Nedharad,382115
Nesda,387810
Nikol,382350
Nirnaynagar,382481
Noblenagar,382340
O N g c,380005
Ode,382427
Odhav,382120
Odhav Industrial estate,382415
Ogan,382150
Ognaj,380060
Otaria,382463
Otaria Sarvodaya ashram,382463
Padana,382460
Paldi,380007
Paldi Kankaj,382425
Panar,382140
Panchham,382465
Panchhi,382455
Parabadi,382250
Pardhol,382330
Pasunj,382430
Pimpan,382110
Pipli,382465
Pirana,382425
Pisawada,382265
Polarpur,382250
Polytechnic,380015
Post Bureau extn counter,380004
Public Office,380016
Rahemalpur,382150
Raikhad,380001
Railway Colony,380019
Railwaypura,380002
Raipur,380001
Rajoda,382220
Rajpur Gomtipur,380021
Rajpura,363610
Rakhial,380023
Rakhial Udyog vistar,380023
Rakhiana,382130
Ramol,382449
Rampur,387810
Rampura,382140
Ranesar,382220
Rangpur,382150
Ranip,382480
Ranoda,387810
Ranodra,382433
Ranpur,363610
Rasam,382220
Rayka,382460
Refda,382255
Rethal,382110
Revdibazar,380002
Ribadi,382130
Rohika,382230
Rojid,382450
Rojka,382460
Rudatal,382120
Rupal,382220
Rupgadh,382240
S A c,380015
S A mills,380008
Sabarmati,380005
Sachana,382150
Sadatpura,382120
Sahij,387810
Saijpur,382405
Saijpur Bogha,382345
Saiwada,387810
Salajada,382220
Salangpur - hanuman,382451
Salasar,363610
Sanand,382110
Sanathal,382210
Sandhida,382455
Sangasar,382463
Sangpura,382120
Sankod,382220
Sarandi,387810
Saraspur,380018
Sardarnagar,382475
Sargwala,382230
Sari,382220
Sarkhej,382210
Sarkhej Road,380007
Saroda,382260
Sarsavadi,382150
Sathal,387810
Shah Alam roza,380028
Shahibag,380004
Shahpur,382150
Shahwadi,382405
Shardanagar,380007
Shastrinagar,380013
Shela,380058
Sher,382130
Sherpura,387810
Shilaj,380058
Shivpura,382140
Shiyal,382230
Siawada,382170
Sihor,382140
Simej,382265
Sinaj,382120
Sindharej,387810
Sitapur,382130
Sobhasan,382145
Sodhi,382463
Sola,380060
Sola H b c,380013
Solgam,382130
Stadium Marg,380013
Sub Foreign,380004
Sukhrampura,380023
Sunderiana,382255
Sunvala,382145
T B nagar,382350
Tagadi,382250
Telav,382210
Telavi,382145
Thaltej,380059
Thaltej Road,380054
Thori Mubarak,382150
Thori Thumbha,382150
Thuleta,382150
Timba,382425
Tragad,382470
Transad,387810
Trent,382150
Ughroj,382120
Ukardi,382140
Ukhlod,382150
Umrela,363610
Unchadi,382250
Undrel,382433
Upardal,382110
Utelia,382230
Vadaj,380013
Vadgas,382150
Vadhela,382450
Vadod,382433
Vagad,363610
Valdhera,387810
Valhia,382450
Valinda,382463
Vanch,382449
Vani,382150
Vanpardi,382130
Vansva,382150
Vanthal,382150
Varmor,382130
Varna,382265
Vasai,382425
Vasisthnagar,380008
Vasna,382460
Vasna (iawa),382170
Vasna chacharvadi,382213
Vastral,382418
Vataman,382265
Vatva,382440
Vatva Industrial estate,382445
Vautha,387810
Vehlal,382330
Vejalka,382230
Vejalpur,380051
Vekaria,382110
Vinchhan,382120
Vinchhiya,382110
Vinzol,382445
Vinzuvada,382130
Viramgam,382150
Virdi,382265
Virochannagar,382170
Vishalpur,382210
Vithlpura,382120
Zanu,382430
Zanzarka,382460
Zanzarva,382120
Zezra,382150
Zinzar,382250
